formula_seed,mode,status,success,steps,assigned_count,decision_steps,forced_steps,score_calls,dpll_nodes
42,dpll_control,SAT_FOUND,True,5,12,5,1,0,5
42,greedy_L,SAT_FOUND,True,9,12,9,0,143,
42,greedy_LG,SAT_FOUND,True,3,12,3,7,51,
42,lookahead_LG_1,SAT_FOUND,True,3,12,3,7,51,
42,lookahead_LG_2,SAT_FOUND,True,4,12,4,7,1599,
42,lookahead_LG_3,SAT_FOUND,True,4,12,4,7,8194,
42,lookahead_L_1,SAT_FOUND,True,9,12,9,0,143,
42,lookahead_L_2,SAT_FOUND,True,11,12,11,0,3015,
42,lookahead_L_3,SAT_FOUND,True,11,12,11,0,13231,
42,random,FAILED_TO_FIND,False,12,12,12,0,0,
43,dpll_control,SAT_FOUND,True,7,12,7,3,0,7
43,greedy_L,SAT_FOUND,True,7,12,7,0,124,
43,greedy_LG,SAT_FOUND,True,2,12,2,5,46,
43,lookahead_LG_1,SAT_FOUND,True,2,12,2,5,46,
43,lookahead_LG_2,SAT_FOUND,True,7,12,7,4,2044,
43,lookahead_LG_3,SAT_FOUND,True,8,12,8,3,9056,
43,lookahead_L_1,SAT_FOUND,True,7,12,7,0,124,
43,lookahead_L_2,SAT_FOUND,True,4,12,4,0,1969,
43,lookahead_L_3,SAT_FOUND,True,4,12,4,0,8716,
43,random,FAILED_TO_FIND,False,12,12,12,0,0,
44,dpll_control,SAT_FOUND,True,8,12,8,1,0,8
44,greedy_L,FAILED_TO_FIND,False,12,12,12,0,156,
44,greedy_LG,SAT_FOUND,True,2,12,2,8,46,
44,lookahead_LG_1,SAT_FOUND,True,2,12,2,8,46,
44,lookahead_LG_2,SAT_FOUND,True,2,12,2,9,1078,
44,lookahead_LG_3,SAT_FOUND,True,4,12,4,7,6786,
44,lookahead_L_1,FAILED_TO_FIND,False,12,12,12,0,156,
44,lookahead_L_2,FAILED_TO_FIND,False,11,12,11,0,3050,
44,lookahead_L_3,FAILED_TO_FIND,False,10,12,10,0,13302,
44,random,FAILED_TO_FIND,False,12,12,12,0,0,
45,dpll_control,SAT_FOUND,True,5,12,5,3,0,5
45,greedy_L,SAT_FOUND,True,9,12,9,0,143,
45,greedy_LG,SAT_FOUND,True,3,12,3,8,56,
